Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6682f85a1110f8eb37c0b2c2,655652e4d1acd4df9b343078,APPROVED,Not Applicable,2024-07-01T18:41:30.142000Z,2024-07-01T19:32:45.736000Z,2024-07-22T00:03:37.289000Z,2024-07-01T19:32:46.413289Z,3076.0,NOCODE,451,28,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
6682f85b121a4d9fb2c7ce43,66707536a4f76cc874a404bc,APPROVED,Not Applicable,2024-07-01T18:41:45.390000Z,2024-07-01T19:01:41.049000Z,2024-07-22T00:03:39.185000Z,2024-07-01T19:02:06.124001Z,1196.0,C4F2Q1F2,31,25,Female,Asian,Thailand,United Kingdom,Thailand,Thai,Yes,Full-Time
6682f85b5ff67f9577443a28,64e8c14bbe184c20cb9d0583,APPROVED,Not Applicable,2024-07-01T18:42:09.419000Z,2024-07-01T19:25:46.124000Z,2024-07-22T00:03:38.369000Z,2024-07-01T19:25:46.755645Z,2617.0,C4F2Q1F2,278,20,Male,Mixed,Hungary,Hungary,Hungary,Hungarian,Yes,Other
6682f85c0f9798b0d8ac6daf,6672f004b99cab96498a3420,APPROVED,Not Applicable,2024-07-01T18:44:18.069000Z,2024-07-01T19:11:27.640000Z,2024-07-22T00:03:42.163000Z,2024-07-01T19:11:28.513983Z,1630.0,C4F2Q1F2,16,21,Male,White,Spain,Spain,Spain,Spanish,Yes,Other
6682f85c26802f9052742c48,663391e57a4ad23179987fdb,APPROVED,Not Applicable,2024-07-01T18:41:47.434000Z,2024-07-01T18:59:38.145000Z,2024-07-22T00:03:40.258000Z,2024-07-01T18:59:38.961326Z,1071.0,NOCODE,23,22,Male,Asian,India,Sweden,India,Other,Yes,Part-Time
6682f85cec1d1250fdb26861,5f262b3018c68e27aebdd170,APPROVED,Not Applicable,2024-07-01T18:41:37.341000Z,2024-07-01T19:28:46.693000Z,2024-07-22T00:03:41.358000Z,2024-07-01T19:30:37.312537Z,2830.0,C4F2Q1F2,1778,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6682f85d800928bde423dee9,6676ffdef71105dc5c0f7492,APPROVED,Not Applicable,2024-07-01T18:41:59.959000Z,2024-07-01T19:05:47.705000Z,2024-07-22T00:03:43.113000Z,2024-07-01T19:05:48.375900Z,1428.0,C4F2Q1F2,19,27,Female,White,Canada,Canada,Canada,English,No,Full-Time
6682f85ef0ba21178dd518bf,6633855c148c17a65daad264,APPROVED,Not Applicable,2024-07-01T18:41:41.159000Z,2024-07-01T19:07:08.635000Z,2024-07-22T00:03:44.153000Z,2024-07-01T19:09:18.648911Z,1528.0,C4F2Q1F2,53,40,Male,Asian,India,India,India,English,No,Part-Time
6682f85efe7029a20d539c26,5f108dea719866356702d26f,APPROVED,Not Applicable,2024-07-01T18:41:34.748000Z,2024-07-01T19:27:33.499000Z,2024-07-22T00:03:45.178000Z,2024-07-01T19:29:59.507523Z,2759.0,soon,1335,26,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
6682f85f490889fbf42d9e59,6614435124bf16e7a24f9662,APPROVED,Not Applicable,2024-07-01T18:44:25.192000Z,2024-07-01T19:45:31.235000Z,2024-07-22T00:03:47.088000Z,2024-07-01T19:45:32.387430Z,3667.0,C4F2Q1F2,134,44,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6682f85ff213fb35b32283b0,665c5d94303fdf202ac9ded0,APPROVED,Not Applicable,2024-07-01T18:41:35.138000Z,2024-07-01T19:31:54.534000Z,2024-07-22T00:03:46.196000Z,2024-07-01T19:31:55.137869Z,3020.0,NOCODE,21,22,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
6682f8683d59ec7203c06ca5,64f3371577d48ca1a8928814,APPROVED,Not Applicable,2024-07-01T18:41:54.129000Z,2024-07-01T19:03:46.131000Z,2024-07-22T00:03:48.236000Z,2024-07-01T19:03:46.648744Z,1313.0,C4F2Q1F2,97,21,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
667f0eaa53bc8bcecb784d94,667ea68a66674d58679624c5,RETURNED,Not Applicable,2024-06-28T19:27:38.579000Z,,,,,,49,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667f0ecb669c24e3ac8c5c82,5ec3e5be68bbf2081da1eba2,RETURNED,Not Applicable,2024-06-28T19:28:11.101000Z,,,,,,231,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667f0ecfa620c3af32cb2683,6672e29709169272b5e826a1,RETURNED,Not Applicable,2024-06-28T19:28:37.442000Z,,,,,,10,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
